gene,name,type,triplet_count,best_rank,avg_pvalue
KLHDC10,KLHDC10,mRNA,1,788,7.479907111473949e-07
ANP32A,ANP32A,mRNA,1,790,7.092415132969876e-07
SETD2,SETD2,mRNA,1,794,8.739438881466555e-07
FNBP1L,FNBP1L,mRNA,1,795,1.0585685410458012e-06
ITCH,ITCH,mRNA,1,797,1.1451817476526571e-06
GPN1,GPN1,mRNA,1,799,1.7250208674823853e-06
RAP1B,RAP1B,mRNA,1,805,2.4625269414713102e-06
SLC15A4,SLC15A4,mRNA,1,807,3.350026867465772e-06
PGGT1B,PGGT1B,mRNA,2,812,5.4781634825085135e-06
WIPF2,WIPF2,mRNA,1,823,1.034089509865943e-05
FBXO21,FBXO21,mRNA,1,827,1.2530172468494529e-05
JMJD1C,JMJD1C,mRNA,1,829,2.2393199666570496e-05
PAFAH1B1,PAFAH1B1,mRNA,1,832,3.2322015989239006e-05
AP1G1,AP1G1,mRNA,1,835,6.437271077963658e-05
CRK,CRK,mRNA,1,836,6.654006716622085e-05
HNRNPF,HNRNPF,mRNA,1,837,0.0001013449200748
STAT3,STAT3,mRNA,1,839,0.0001467542522339
MAP3K2,MAP3K2,mRNA,1,843,0.0004547451565648
